GeneID	GeneSymb	Alias	Links	Cytoband	Description
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	HGNC:6844|MIM:601335|Ensembl:ENSG00000065559|HPRD:03213|Vega:OTTHUMG00000178267	17p12	mitogen-activated protein kinase kinase 4
6418	SET	2PP2A|I2PP2A|IGAAD|IPP2A2|PHAPII|TAF-I|TAF-IBETA	HGNC:10760|MIM:600960|Ensembl:ENSG00000119335|HPRD:09023|Vega:OTTHUMG00000020755	9q34	SET nuclear oncogene
6422	SFRP1	FRP|FRP-1|FRP1|FrzA|SARP2	HGNC:10776|MIM:604156|Ensembl:ENSG00000104332|HPRD:09165|Vega:OTTHUMG00000164074	8p11.21	secreted frizzled-related protein 1
6464	SHC1	SHC|SHCA	HGNC:10840|MIM:600560|Ensembl:ENSG00000160691|HPRD:02780|Vega:OTTHUMG00000037295	1q21	SHC (Src homology 2 domain containing) transforming protein 1
6497	SKI	SGS|SKV	HGNC:10896|MIM:164780|Ensembl:ENSG00000157933|HPRD:01271|Vega:OTTHUMG00000001407	1p36.33	v-ski avian sarcoma viral oncogene homolog
652	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	HGNC:1071|MIM:112262|Ensembl:ENSG00000125378|HPRD:00207|Vega:OTTHUMG00000140303	14q22-q23	bone morphogenetic protein 4
6664	SOX11	-	HGNC:11191|MIM:600898|Ensembl:ENSG00000176887|HPRD:02940|Vega:OTTHUMG00000090333	2p25	SRY (sex determining region Y)-box 11
6850	SYK	p72-Syk	HGNC:11491|MIM:600085|Ensembl:ENSG00000165025|HPRD:02514|Vega:OTTHUMG00000020200	9q22	spleen tyrosine kinase
7040	TGFB1	CED|DPD1|LAP|TGFB|TGFbeta	HGNC:11766|MIM:190180|HPRD:01821	19q13.1	transforming growth factor, beta 1
7057	THBS1	THBS|THBS-1|TSP|TSP-1|TSP1	HGNC:11785|MIM:188060|HPRD:01765	15q15	thrombospondin 1
7068	THRB	C-ERBA-2|C-ERBA-BETA|ERBA2|GRTH|NR1A2|PRTH|THR1|THRB1|THRB2	HGNC:11799|MIM:190160|Ensembl:ENSG00000151090|HPRD:07521|Vega:OTTHUMG00000130478	3p24.2	thyroid hormone receptor, beta
7071	KLF10	EGR-alpha|EGRA|TIEG|TIEG1	HGNC:11810|MIM:601878|Ensembl:ENSG00000155090|HPRD:03527|Vega:OTTHUMG00000164735	8q22.2	Kruppel-like factor 10
7076	TIMP1	CLGI|EPA|EPO|HCI|TIMP	HGNC:11820|MIM:305370|Ensembl:ENSG00000102265|HPRD:02371|Vega:OTTHUMG00000021447	Xp11.3-p11.23	TIMP metallopeptidase inhibitor 1
7077	TIMP2	CSC-21K|DDC8	HGNC:11821|MIM:188825|Ensembl:ENSG00000035862|HPRD:01784|Vega:OTTHUMG00000154517	17q25	TIMP metallopeptidase inhibitor 2
7078	TIMP3	HSMRK222|K222|K222TA2|SFD	HGNC:11822|MIM:188826|Ensembl:ENSG00000100234|HPRD:01785|Vega:OTTHUMG00000030784	22q12.3	TIMP metallopeptidase inhibitor 3
7079	TIMP4	-	HGNC:11823|MIM:601915|Ensembl:ENSG00000157150|HPRD:03557|Vega:OTTHUMG00000129763	3p25	TIMP metallopeptidase inhibitor 4
7080	NKX2-1	BCH|BHC|NK-2|NKX2.1|NKX2A|TEBP|TITF1|TTF-1|TTF1	HGNC:11825|MIM:600635|Ensembl:ENSG00000136352|HPRD:02798|Vega:OTTHUMG00000140225	14q13	NK2 homeobox 1
7145	TNS1	MST091|MST122|MST127|MSTP122|MSTP127|MXRA6|PPP1R155|TNS	HGNC:11973|MIM:600076|Ensembl:ENSG00000079308|HPRD:02512|Vega:OTTHUMG00000133056	2q35-q36	tensin 1
7291	TWIST1	ACS3|BPES2|BPES3|CRS|CRS1|SCS|TWIST|bHLHa38	HGNC:12428|MIM:601622|Ensembl:ENSG00000122691|HPRD:03374|Vega:OTTHUMG00000090821	7p21.2	twist family bHLH transcription factor 1
7297	TYK2	JTK1	HGNC:12440|MIM:176941|Ensembl:ENSG00000105397|HPRD:01490|Vega:OTTHUMG00000166373	19p13.2	tyrosine kinase 2
7555	CNBP	CNBP1|DM2|PROMM|RNF163|ZCCHC22|ZNF9	HGNC:13164|MIM:116955|Ensembl:ENSG00000169714|HPRD:00311|Vega:OTTHUMG00000159943	3q21	CCHC-type zinc finger, nucleic acid binding protein
79365	BHLHE41	BHLHB3|DEC2|SHARP1|hDEC2	HGNC:16617|MIM:606200|Ensembl:ENSG00000123095|HPRD:16204|Vega:OTTHUMG00000169174	12p12.1	basic helix-loop-helix family, member e41
7980	TFPI2	PP5|REF1|TFPI-2	HGNC:11761|MIM:600033|Ensembl:ENSG00000105825|HPRD:08962|Vega:OTTHUMG00000022963	7q22	tissue factor pathway inhibitor 2
8111	GPR68	GPR12A|OGR1	HGNC:4519|MIM:601404|Ensembl:ENSG00000119714|HPRD:03241|Vega:OTTHUMG00000167590	14q31	G protein-coupled receptor 68
81671	VMP1	EPG3|TANGO5|TMEM49	HGNC:29559|MIM:611753|Ensembl:ENSG00000062716|HPRD:15649|Vega:OTTHUMG00000179882	17q23.1	vacuole membrane protein 1
8260	NAA10	ARD1|ARD1A|ARD1P|DXS707|MCOPS1|NATD|TE2	HGNC:18704|MIM:300013|HPRD:02056	Xq28	N(alpha)-acetyltransferase 10, NatA catalytic subunit
836	CASP3	CPP32|CPP32B|SCA-1	HGNC:1504|MIM:600636|Ensembl:ENSG00000164305|HPRD:02799|Vega:OTTHUMG00000133681	4q34	caspase 3, apoptosis-related cysteine peptidase
838	CASP5	ICE(rel)III|ICEREL-III|ICH-3	HGNC:1506|MIM:602665|Ensembl:ENSG00000137757|HPRD:04048|Vega:OTTHUMG00000048073	11q22.2-q22.3	caspase 5, apoptosis-related cysteine peptidase
83933	HDAC10	HD10	HGNC:18128|MIM:608544|Ensembl:ENSG00000100429|HPRD:09407|Vega:OTTHUMG00000044647	22q13.31	histone deacetylase 10
8404	SPARCL1	MAST 9|MAST9|PIG33|SC1	HGNC:11220|MIM:606041|Ensembl:ENSG00000152583|HPRD:06919|Vega:OTTHUMG00000130605	4q22.1	SPARC-like 1 (hevin)
841	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	HGNC:1509|MIM:601763|Ensembl:ENSG00000064012|HPRD:03459|Vega:OTTHUMG00000132821	2q33-q34	caspase 8, apoptosis-related cysteine peptidase
8434	RECK	ST15	HGNC:11345|MIM:605227|Ensembl:ENSG00000122707|HPRD:05567|Vega:OTTHUMG00000019898	9p13.3	reversion-inducing-cysteine-rich protein with kazal motifs
84513	PPAPDC1B	DPPL1|HTPAP	HGNC:25026|MIM:610626|Ensembl:ENSG00000147535|HPRD:13720|Vega:OTTHUMG00000165104	8p11.23	phosphatidic acid phosphatase type 2 domain containing 1B
84700	MYO18B	-	HGNC:18150|MIM:607295|Ensembl:ENSG00000133454|HPRD:09529|Vega:OTTHUMG00000151129	22q12.1	myosin XVIIIB
8626	TP63	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	HGNC:15979|MIM:603273|Ensembl:ENSG00000073282|HPRD:04469|Vega:OTTHUMG00000156313	3q28	tumor protein p63
8635	RNASET2	RNASE6PL|bA514O12.3	HGNC:21686|MIM:612944|Ensembl:ENSG00000026297|HPRD:10197|Vega:OTTHUMG00000016009	6q27	ribonuclease T2
864	RUNX3	AML2|CBFA3|PEBP2aC	HGNC:10473|MIM:600210|Ensembl:ENSG00000020633|HPRD:02565|Vega:OTTHUMG00000003316	1p36	runt-related transcription factor 3
8743	TNFSF10	APO2L|Apo-2L|CD253|TL2|TRAIL	HGNC:11925|MIM:603598|Ensembl:ENSG00000121858|HPRD:04670|Vega:OTTHUMG00000156917	3q26	tumor necrosis factor (ligand) superfamily, member 10
8795	TNFRSF10B	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	HGNC:11905|MIM:603612|Ensembl:ENSG00000120889|HPRD:04680|Vega:OTTHUMG00000097826	8p22-p21	tumor necrosis factor receptor superfamily, member 10b
8797	TNFRSF10A	APO2|CD261|DR4|TRAILR-1|TRAILR1	HGNC:11904|MIM:603611|HPRD:04679	8p21	tumor necrosis factor receptor superfamily, member 10a
9076	CLDN1	CLD1|ILVASC|SEMP1	HGNC:2032|MIM:603718|Ensembl:ENSG00000163347|HPRD:04760|Vega:OTTHUMG00000156214	3q28-q29	claudin 1
90993	CREB3L1	OASIS	HGNC:18856|Ensembl:ENSG00000157613|HPRD:16751|Vega:OTTHUMG00000166423	11p11.2	cAMP responsive element binding protein 3-like 1
9211	LGI1	ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099	HGNC:6572|MIM:604619|Ensembl:ENSG00000108231|HPRD:05216|Vega:OTTHUMG00000018777	10q24	leucine-rich, glioma inactivated 1
928	CD9	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	HGNC:1709|MIM:143030|Ensembl:ENSG00000010278|HPRD:00880|Vega:OTTHUMG00000044400	12p13.3	CD9 molecule
9314	KLF4	EZF|GKLF	HGNC:6348|MIM:602253|Ensembl:ENSG00000136826|Vega:OTTHUMG00000020449	9q31	Kruppel-like factor 4 (gut)
9353	SLIT2	SLIL3|Slit-2	HGNC:11086|MIM:603746|Ensembl:ENSG00000145147|HPRD:04776|Vega:OTTHUMG00000128551	4p15.2	slit homolog 2 (Drosophila)
9439	MED23	ARC130|CRSP130|CRSP133|CRSP3|DRIP130|MRT18|SUR-2|SUR2	HGNC:2372|MIM:605042|Ensembl:ENSG00000112282|HPRD:05436|Vega:OTTHUMG00000015565	6q22.33-q24.1	mediator complex subunit 23
9462	RASAL2	NGAP	HGNC:9874|MIM:606136|Ensembl:ENSG00000075391|HPRD:05845|Vega:OTTHUMG00000035022	1q24	RAS protein activator like 2
9500	MAGED1	DLXIN-1|NRAGE	HGNC:6813|MIM:300224|Ensembl:ENSG00000179222|HPRD:02202|Vega:OTTHUMG00000021540	Xp11.23	melanoma antigen family D, 1
9590	AKAP12	AKAP250|SSeCKS	HGNC:370|MIM:604698|Ensembl:ENSG00000131016|HPRD:05263	6q24-q25	A kinase (PRKA) anchor protein 12
960	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	HGNC:1681|MIM:107269|Ensembl:ENSG00000026508|HPRD:00115|Vega:OTTHUMG00000044388	11p13	CD44 molecule (Indian blood group)
967	CD63	LAMP-3|ME491|MLA1|OMA81H|TSPAN30	HGNC:1692|MIM:155740|Ensembl:ENSG00000135404|HPRD:01121|Vega:OTTHUMG00000170454	12q12-q13	CD63 molecule
9788	MTSS1	MIM|MIMA|MIMB	HGNC:20443|MIM:608486|Ensembl:ENSG00000170873|HPRD:12243|Vega:OTTHUMG00000048189	8p22	metastasis suppressor 1
999	CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	HGNC:1748|MIM:192090|Ensembl:ENSG00000039068|HPRD:01885|Vega:OTTHUMG00000137561	16q22.1	cadherin 1, type 1, E-cadherin (epithelial)
